YEAR,MO,DY,HR,GHI,DNI,DHI,T2M,WS10M,Sun_Elevation,Optimal_Tilt_Target
2025,1,10,7,551.9,343.51,259.22,23.04,2.57,5.44959393566137,84.5504060643386
2025,1,10,8,453.55,306.21,228.05,23.14,2.48,17.7382085724697,72.2617914275303
2025,1,10,9,314.1,241.03,181.38,22.9,2.22,28.9954578229497,61.0045421770503
2025,1,10,10,155.02,123.41,109.55,21.92,1.6,38.5292718211262,51.4707281788738
2025,1,10,11,26.6,7.09,24.36,19.62,1.18,45.2165508060543,44.7834491939457
2025,1,10,12,0,0,0,18.46,1.05,47.6803754412626,42.3196245587374
2025,1,10,13,0,0,0,17.73,1.03,45.2165508060543,44.7834491939457
2025,1,10,14,0,0,0,16.89,1.26,38.5292718211262,51.4707281788738
2025,1,10,15,0,0,0,16.12,1.46,28.9954578229497,61.0045421770503
2025,1,10,16,0,0,0,15.56,1.38,17.7382085724697,72.2617914275303
2025,1,10,17,0,0,0,15.27,1.05,5.44959393566137,84.5504060643386
2025,1,10,18,0,0,0,14.88,0.83,0,0
2025,1,10,19,0,0,0,13.98,1.16,0,0
2025,1,10,20,0,0,0,12.76,1.63,0,0
2025,1,10,21,0,0,0,11.8,2.02,0,0
2025,1,10,22,0,0,0,11.16,2.29,0,0
2025,1,10,23,0,0,0,10.74,2.45,0,0
2025,1,11,0,0,0,0,10.51,2.49,0,0
2025,1,11,1,36.45,13.27,34.38,11.87,2.27,0,0
2025,1,11,2,169.62,121.08,126.78,14.72,2.79,0,0
2025,1,11,3,304.92,238.19,172.45,17.42,2.26,0,0
2025,1,11,4,479.85,341.8,233.96,20.5,2.64,0,0
2025,1,11,5,632.6,492.04,243.09,22.01,2.62,0,0
2025,1,11,6,663.95,504.31,253.19,23.04,2.41,0,0
2025,1,11,7,628.72,507.05,240.88,23.72,2.22,5.5080484220151,84.4919515779849
2025,1,11,8,519.05,459.84,208.25,23.89,2.15,17.8118571851065,72.1881428148935
2025,1,11,9,351.8,347.09,167.86,23.54,2.01,29.0874095551198,60.9125904448802
2025,1,11,10,183.2,229.96,105.99,22.45,1.52,38.6421850846102,51.3578149153898
2025,1,11,11,31.02,20.5,27.31,20.05,1.44,45.349024405872,44.650975594128
2025,1,11,12,0,0,0,18.24,1.85,47.8215169841024,42.1784830158976
2025,1,11,13,0,0,0,16.69,2.29,45.349024405872,44.650975594128
2025,1,11,14,0,0,0,15.61,2.47,38.6421850846102,51.3578149153898
2025,1,11,15,0,0,0,15.06,2.31,29.0874095551198,60.9125904448802
2025,1,11,16,0,0,0,14.78,2.02,17.8118571851065,72.1881428148935
2025,1,11,17,0,0,0,14.5,1.74,5.5080484220151,84.4919515779849
2025,1,11,18,0,0,0,14.16,1.47,0,0
2025,1,11,19,0,0,0,13.7,1.35,0,0
2025,1,11,20,0,0,0,12.81,1.58,0,0
2025,1,11,21,0,0,0,11.94,1.87,0,0
2025,1,11,22,0,0,0,11.4,2.04,0,0
2025,1,11,23,0,0,0,11.06,2.13,0,0
2025,1,12,0,0,0,0,10.74,2.24,0,0
2025,1,12,1,46.2,51.88,40.65,11.86,2.12,0,0
2025,1,12,2,208.18,281.42,116.41,14.95,2.53,0,0
2025,1,12,3,399.1,417.46,180.91,17.41,1.84,0,0
2025,1,12,4,578.62,531.23,228.49,20.91,1.91,0,0
2025,1,12,5,675.6,569.69,251.83,22.51,1.87,0,0
2025,1,12,6,620.35,364.79,313.04,23.55,1.65,0,0
2025,1,12,7,610.92,531.1,245.75,24.18,1.43,5.56916062818471,84.4308393718153
2025,1,12,8,504.88,400.85,224.29,24.35,1.1,17.8888047706017,72.1111952293983
2025,1,12,9,348.12,302.86,187.31,24.07,0.88,29.1834695379003,60.8165304620997
2025,1,12,10,182.18,189.3,120.46,23.29,0.81,38.760182285884,51.239817714116
2025,1,12,11,32.95,13.31,34.61,21,1.06,45.4875435428832,44.5124564571168
2025,1,12,12,0,0,0,19.09,1.57,47.9691475200678,42.0308524799322
2025,1,12,13,0,0,0,17.93,1.93,45.4875435428832,44.5124564571168
2025,1,12,14,0,0,0,16.87,2.17,38.760182285884,51.239817714116
2025,1,12,15,0,0,0,16.19,2.22,29.1834695379003,60.8165304620997
2025,1,12,16,0,0,0,15.96,2.04,17.8888047706017,72.1111952293983
2025,1,12,17,0,0,0,16.01,1.61,5.56916062818471,84.4308393718153
2025,1,12,18,0,0,0,16.18,1.05,0,0
2025,1,12,19,0,0,0,16.19,0.51,0,0
2025,1,12,20,0,0,0,15.07,0.9,0,0
2025,1,12,21,0,0,0,13.73,1.61,0,0
2025,1,12,22,0,0,0,12.47,2.11,0,0
2025,1,12,23,0,0,0,11.78,2.34,0,0
2025,1,13,0,0,0,0,11.34,2.46,0,0
2025,1,13,1,51.35,83.47,38.48,12.74,2.29,0,0
2025,1,13,2,227.18,332.08,117.67,15.76,3.04,0,0
2025,1,13,3,415.38,474.55,162.43,18.19,2.18,0,0
2025,1,13,4,583.05,595.47,186.46,21.8,1.33,0,0
2025,1,13,5,688.58,656.9,200.41,23.86,1.18,0,0
2025,1,13,6,650.17,477.61,264.46,24.9,1.11,0,0
2025,1,13,7,615.85,482.62,235.18,25.43,0.91,5.63290808226564,84.3670919177344
2025,1,13,8,505.52,423.02,214.3,25.53,0.61,17.9690163146262,72.0309836853738
2025,1,13,9,341.45,305.23,179.36,25.26,0.38,29.283592528438,60.716407471562
2025,1,13,10,180.05,206.65,107.39,24.41,0.56,38.8832131659951,51.1167868340049
2025,1,13,11,30.8,17.69,27.06,21.92,1.25,45.632060652131,44.367939347869
2025,1,13,12,0,0,0,20.04,1.98,48.1232233030449,41.8767766969551
2025,1,13,13,0,0,0,19.02,2.29,45.632060652131,44.367939347869
2025,1,13,14,0,0,0,18.34,2.37,38.8832131659951,51.1167868340049
2025,1,13,15,0,0,0,18,2.23,29.283592528438,60.716407471562
2025,1,13,16,0,0,0,18.05,1.84,17.9690163146262,72.0309836853738
2025,1,13,17,0,0,0,18.15,1.29,5.63290808226564,84.3670919177344
2025,1,13,18,0,0,0,18.07,0.93,0,0
2025,1,13,19,0,0,0,17.17,1.14,0,0
2025,1,13,20,0,0,0,15.93,1.65,0,0
2025,1,13,21,0,0,0,14.82,2.07,0,0
2025,1,13,22,0,0,0,14.15,2.32,0,0
2025,1,13,23,0,0,0,13.81,2.44,0,0
2025,1,14,0,0,0,0,13.66,2.39,0,0
2025,1,14,1,34.62,11.71,30.13,15.01,2,0,0
2025,1,14,2,165.85,115.83,115.44,17.76,2.39,0,0
2025,1,14,3,322.88,210.65,193.49,20.16,1.85,0,0
2025,1,14,4,440.33,256.7,244.02,23.47,1.4,0,0
2025,1,14,5,536.17,297.75,285.76,25.05,1.04,0,0
2025,1,14,6,533.92,263.5,293.03,25.98,1,0,0
2025,1,14,7,506.83,266.91,267.96,26.33,1.07,5.69926728955599,84.300732710444
2025,1,14,8,414.12,233.96,226.36,26.24,1.08,18.0524552726195,71.9475447273805
2025,1,14,9,323.58,242.6,186.39,25.79,1.08,29.3877312944435,60.6122687055565
2025,1,14,10,157.43,129.08,105.98,24.81,1.19,39.0112252106538,50.9887747893462
2025,1,14,11,27.83,8.56,25.02,22.22,1.65,45.7825260393687,44.2174739606313
2025,1,14,12,0,0,0,19.85,2.52,48.2836986770539,41.7163013229461
2025,1,14,13,0,0,0,18.76,2.9,45.7825260393687,44.2174739606313
2025,1,14,14,0,0,0,18.03,2.98,39.0112252106538,50.9887747893462
2025,1,14,15,0,0,0,17.4,2.89,29.3877312944435,60.6122687055565
2025,1,14,16,0,0,0,16.75,2.71,18.0524552726195,71.9475447273805
2025,1,14,17,0,0,0,16.12,2.5,5.69926728955599,84.300732710444
2025,1,14,18,0,0,0,15.61,2.25,0,0
2025,1,14,19,0,0,0,15.15,2.11,0,0
2025,1,14,20,0,0,0,14.57,2.17,0,0
2025,1,14,21,0,0,0,14.07,2.34,0,0
2025,1,14,22,0,0,0,13.79,2.47,0,0
2025,1,14,23,0,0,0,13.59,2.57,0,0
2025,1,15,0,0,0,0,13.42,2.63,0,0
2025,1,15,1,29.48,6.28,30.43,14.92,2.99,0,0
2025,1,15,2,125.78,65.7,100.82,16.92,3.6,0,0
2025,1,15,3,239.7,128.07,165.41,19.47,3.2,0,0
2025,1,15,4,363.65,113.16,240.04,21.99,3.22,0,0
2025,1,15,5,466.67,185.97,269.07,23.3,2.86,0,0
2025,1,15,6,482.7,191.92,267.34,24.15,2.37,0,0
2025,1,15,7,448.9,203.51,251.65,24.6,1.92,5.76821373526301,84.231786264737
2025,1,15,8,365.9,161.99,211.2,24.67,1.65,18.1390835816496,71.8609164183504
2025,1,15,9,259.27,122.27,176.09,24.31,1.57,29.4958366274983,60.5041633725017
2025,1,15,10,124.3,58.41,97.36,23.53,1.4,39.1441636581623,50.8558363418377
2025,1,15,11,23.6,3.38,23.22,21.91,1.24,45.9388878884198,44.0611121115802
2025,1,15,12,0,0,0,20.69,1.51,48.4505260897782,41.5494739102218
2025,1,15,13,0,0,0,19.5,1.79,45.9388878884198,44.0611121115802
2025,1,15,14,0,0,0,18.4,1.97,39.1441636581623,50.8558363418377
2025,1,15,15,0,0,0,17.62,2.03,29.4958366274983,60.5041633725017
2025,1,15,16,0,0,0,16.87,2.07,18.1390835816496,71.8609164183504
2025,1,15,17,0,0,0,16.21,2.08,5.76821373526301,84.231786264737
2025,1,15,18,0,0,0,15.63,2.03,0,0
2025,1,15,19,0,0,0,15.1,1.92,0,0
2025,1,15,20,0,0,0,14.66,1.79,0,0
2025,1,15,21,0,0,0,14.11,1.91,0,0
2025,1,15,22,0,0,0,13.68,2.14,0,0
2025,1,15,23,0,0,0,13.44,2.31,0,0
2025,1,16,0,0,0,0,13.19,2.46,0,0
2025,1,16,1,34.95,10.69,33.36,14.51,2.86,0,0
2025,1,16,2,168.15,120.93,124.21,16.49,3.39,0,0
2025,1,16,3,340.52,247.69,193.37,19.17,3.04,0,0
2025,1,16,4,488.48,354.91,222.89,21.85,3.27,0,0
2025,1,16,5,565.55,357.33,260.31,23.24,2.96,0,0
2025,1,16,6,624.38,423.89,257.69,24.16,2.73,0,0
2025,1,16,7,588.72,406.97,265.16,24.55,2.55,5.83972188759738,84.1602781124026
2025,1,16,8,506.67,410.66,210.78,24.5,2.3,18.2288616730291,71.7711383269709
2025,1,16,9,375.6,381.18,173.32,24.05,2.17,29.6078573571812,60.3921426428188
2025,1,16,10,194.7,243.63,111.03,22.99,1.73,39.2819715077994,50.7180284922006
2025,1,16,11,35.6,31.23,29.44,20.74,1.63,46.1010922687703,43.8989077312297
2025,1,16,12,0,0,0,19.03,2.04,48.6236561066549,41.3763438933451
2025,1,16,13,0,0,0,17.83,2.31,46.1010922687703,43.8989077312297
2025,1,16,14,0,0,0,16.84,2.42,39.2819715077994,50.7180284922006
2025,1,16,15,0,0,0,16.11,2.37,29.6078573571812,60.3921426428188
2025,1,16,16,0,0,0,15.66,2.18,18.2288616730291,71.7711383269709
2025,1,16,17,0,0,0,15.53,1.81,5.83972188759738,84.1602781124026
2025,1,16,18,0,0,0,15.37,1.45,0,0
2025,1,16,19,0,0,0,14.81,1.55,0,0
2025,1,16,20,0,0,0,13.97,1.98,0,0
2025,1,16,21,0,0,0,13.39,2.32,0,0
2025,1,16,22,0,0,0,12.93,2.55,0,0
2025,1,16,23,0,0,0,12.45,2.72,0,0
2025,1,17,0,0,0,0,11.97,2.84,0,0
2025,1,17,1,45.45,52.26,37.81,13.14,2.79,0,0
2025,1,17,2,222.8,308.51,111.89,15.76,3.65,0,0
2025,1,17,3,400.52,428.68,172.29,18.16,2.67,0,0
2025,1,17,4,581,579.17,190.73,21.85,3.1,0,0
2025,1,17,5,693.05,655.5,193.4,23.58,3.11,0,0
2025,1,17,6,668.67,518.65,244.21,24.5,2.89,0,0
2025,1,17,7,637.15,523.6,225.96,25,2.71,5.91376520128484,84.0862347987152
2025,1,17,8,530.6,473.02,207.49,25.1,2.57,18.321748485711,71.678251514289
